LOG | markview/autocmds.lua => bufHandle() -> /home/timothy/code/idris2-tutorial/src/Appendices/Neovim.md | Buffer state changed.
LOG |                                  markview/actions.lua => attach()                                   | Attached to 1.
LOG |                           markview/actions.lua => autocmd() -> on_attach                            |   Fired on_attach & MarkviewAttach.
LOG |                           markview/actions.lua => autocmd() -> on_enable                            |   Fired on_enable & MarkviewEnable.
LOG |                                       renderer.lua => clear()                                       |   Clearing: 1
LOG |                                       renderer.lua => clear()                                       |     Clearing total(1): 0ms
LOG |                                  markview/actions.lua => render()                                   |   Rendering preview.
LOG |                                      renderer.lua => render()                                       |     Rendering: 1
LOG |                                      renderer.lua => render()                                       |       Render(main): 0ms
LOG |                                      renderer.lua => render()                                       |       Render(post): 0ms
LOG |                                      renderer.lua => render()                                       |       Rendering total(1): 0ms
LOG |                        markview/actions.lua => autocmd() -> on_hybrid_enable                        |   Fired on_hybrid_enable & MarkviewHybridEnable.
LOG |                                                fn()                                                 | Registered integration:  blink.cmp 
LOG |                                                fn()                                                 | Registered integration:  nvim-cmp 
LOG |                            markview/autocmds.lua => optionSet() -> wrap                             | Option changed.
LOG |                          markview/autocmds.lua => optionSet() -> linebreak                          | Option changed.
LOG |                          markview/autocmds.lua => optionSet() -> filetype                           | Option changed.
LOG |                                  markview/actions.lua => enable()                                   | Enabled preview for 1.
LOG |                                       renderer.lua => clear()                                       |   Clearing: 1
LOG |                                       renderer.lua => clear()                                       |     Clearing total(1): 0ms
LOG |                                  markview/actions.lua => render()                                   |   Rendering preview.
LOG |                                      renderer.lua => render()                                       |     Rendering: 1
LOG |                                      renderer.lua => render()                                       |       Render(main): 0ms
LOG |                                      renderer.lua => render()                                       |       Render(post): 0ms
LOG |                                      renderer.lua => render()                                       |       Rendering total(1): 0ms
LOG |                           markview/actions.lua => autocmd() -> on_enable                            |   Fired on_enable & MarkviewEnable.
LOG |                                  markview/actions.lua => detach()                                   | Detached from 0.
LOG |                           markview/actions.lua => autocmd() -> on_detach                            |   Fired on_detach & MarkviewDetach.
LOG |                                       renderer.lua => clear()                                       |   Clearing: 0
LOG |                                  markview/actions.lua => detach()                                   |     Detached from 1.
LOG |                           markview/actions.lua => autocmd() -> on_detach                            |       Fired on_detach & MarkviewDetach.
LOG |                                       renderer.lua => clear()                                       |       Clearing: 1
LOG |                                  markview/actions.lua => enable()                                   |         Disabled preview for 1.
LOG |                                       renderer.lua => clear()                                       |           Clearing: 1
LOG |                                       renderer.lua => clear()                                       |             Clearing total(1): 0ms
LOG |                           markview/actions.lua => autocmd() -> on_disable                           |           Fired on_disable & MarkviewDisable.
LOG |                                  markview/actions.lua => enable()                                   |         Enabled preview for 1.
LOG |                                       renderer.lua => clear()                                       |           Clearing: 1
LOG |                                       renderer.lua => clear()                                       |             Clearing total(1): 0ms
LOG |                                  markview/actions.lua => render()                                   |           Rendering preview.
LOG |                                      renderer.lua => render()                                       |             Rendering: 1
LOG |                                      renderer.lua => render()                                       |               Render(main): 0ms
LOG |                                      renderer.lua => render()                                       |               Render(post): 0ms
LOG |                                      renderer.lua => render()                                       |               Rendering total(1): 0ms
LOG |                           markview/actions.lua => autocmd() -> on_enable                            |           Fired on_enable & MarkviewEnable.
LOG |                                       renderer.lua => clear()                                       |         Clearing: 1
LOG |                                       renderer.lua => clear()                                       |           Clearing total(1): 0ms
LOG |                                  markview/actions.lua => render()                                   |         Rendering preview.
LOG |                                      renderer.lua => render()                                       |           Rendering: 1
LOG |                                      renderer.lua => render()                                       |             Render(main): 0ms
LOG |                                      renderer.lua => render()                                       |             Render(post): 0ms
LOG |                                      renderer.lua => render()                                       |             Rendering total(1): 0ms
LOG |                                       renderer.lua => clear()                                       |         Clearing: 1
LOG |                                       renderer.lua => clear()                                       |           Clearing total(1): 0ms
